                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70196,                0.60679,                0.87288,                0.82746,                0.91214,                0.93821,                0.75269,                0.71493,                0.60665,                0.89324,             0.00038426,             0.00038426,             0.00038426
                     37,                0.71965,                0.63342,                0.87319,                0.88226,                0.80741,                0.90983,                0.72669,                 0.6973,                0.65811,                0.88542,             0.00037844,             0.00037844,             0.00037844
                     38,                0.70615,                0.60874,                0.89101,                0.79831,                0.90627,                0.89575,                0.73071,                0.68905,                0.65181,                0.88049,             0.00037262,             0.00037262,             0.00037262
                     39,                0.67689,                0.58988,                0.87308,                 0.8078,                0.88516,                0.89253,                0.72548,                 0.6899,                0.69791,                0.88155,             0.00036679,             0.00036679,             0.00036679
                     40,                0.66839,                0.57849,                0.87232,                0.86578,                0.88666,                0.90485,                0.73167,                0.66676,                0.62229,                0.88062,             0.00036097,             0.00036097,             0.00036097
                     41,                0.69501,                0.56452,                 0.8781,                0.86404,                0.83601,                0.89817,                0.72851,                0.68624,                0.61563,                 0.8824,             0.00035515,             0.00035515,             0.00035515
                     42,                0.69396,                0.58781,                0.87442,                0.85651,                 0.8366,                0.89809,                0.74102,                0.66121,                0.65887,                0.87807,             0.00034933,             0.00034933,             0.00034933
                     43,                0.67983,                0.59131,                0.86551,                0.80446,                0.89439,                 0.8928,                0.73199,                0.66653,                0.60413,                0.87911,             0.00034351,             0.00034351,             0.00034351
                     44,                0.66717,                0.56406,                0.87018,                0.89224,                0.84926,                0.91286,                0.74366,                0.66199,                0.60333,                0.88098,             0.00033769,             0.00033769,             0.00033769
                     45,                0.67885,                0.54025,                0.87195,                0.87715,                0.89037,                0.93546,                0.77095,                0.68641,                 0.5647,                0.88236,             0.00033187,             0.00033187,             0.00033187
                     46,                0.64426,                0.51852,                0.85612,                0.87369,                0.87154,                0.94043,                0.78025,                0.68366,                0.55136,                0.87766,             0.00032605,             0.00032605,             0.00032605
                     47,                0.63676,                0.52004,                0.85674,                0.88377,                0.86062,                0.92535,                0.75977,                0.68311,                0.58339,                0.88211,             0.00032022,             0.00032022,             0.00032022
                     48,                0.63849,                0.51845,                0.86175,                0.86227,                0.90048,                0.93388,                0.76031,                0.69846,                0.54918,                0.88312,              0.0003144,              0.0003144,              0.0003144
                     49,                  0.622,                0.49535,                0.85783,                0.91637,                0.87459,                0.93171,                0.76539,                0.67467,                 0.5937,                0.87585,             0.00030858,             0.00030858,             0.00030858
                     50,                0.61736,                0.50269,                0.86799,                0.90165,                0.86523,                0.94132,                0.78098,                0.64562,                0.52785,                0.87172,             0.00030276,             0.00030276,             0.00030276
                     51,                0.62689,                0.51135,                0.85936,                0.91288,                0.85234,                0.92393,                0.76163,                0.65903,                 0.6033,                0.87339,             0.00029694,             0.00029694,             0.00029694
                     52,                 0.6113,                0.49404,                0.86105,                0.86834,                0.87029,                0.92401,                0.76314,                0.69089,                0.56505,                0.88185,             0.00029112,             0.00029112,             0.00029112
                     53,                0.60213,                0.47631,                0.85762,                0.86715,                0.87938,                0.92269,                0.77729,                0.64149,                0.54913,                0.86908,              0.0002853,              0.0002853,              0.0002853
                     54,                0.61735,                0.47827,                0.86045,                0.89589,                0.86008,                0.93021,                0.76544,                0.68664,                0.58225,                0.88237,             0.00027948,             0.00027948,             0.00027948
                     55,                0.62175,                0.48008,                  0.858,                0.89574,                 0.8992,                0.93418,                0.77949,                0.65831,                0.53662,                0.87744,             0.00027366,             0.00027366,             0.00027366
                     56,                0.60673,                0.45625,                0.85935,                0.88465,                 0.8827,                0.92335,                0.76841,                0.65734,                0.52221,                0.87338,             0.00026783,             0.00026783,             0.00026783
                     57,                0.58792,                0.46372,                 0.8475,                0.91603,                0.89986,                0.93874,                0.77929,                0.66562,                0.49449,                0.87248,             0.00026201,             0.00026201,             0.00026201
                     58,                0.56828,                 0.4464,                0.84839,                0.91513,                0.88935,                0.93697,                0.77062,                0.67054,                0.50805,                0.88155,             0.00025619,             0.00025619,             0.00025619
                     59,                0.59242,                0.45586,                0.86064,                0.91729,                0.86368,                0.92978,                0.77106,                0.64419,                0.50814,                0.87435,             0.00025037,             0.00025037,             0.00025037
                     60,                0.56915,                0.46108,                0.84064,                 0.8694,                0.89155,                0.92948,                0.77289,                0.64416,                0.52864,                0.87077,             0.00024455,             0.00024455,             0.00024455
                     61,                0.55586,                0.43619,                0.84236,                 0.8698,                0.91294,                 0.9259,                0.77515,                 0.6492,                0.51732,                0.87291,             0.00023873,             0.00023873,             0.00023873
                     62,                0.59232,                0.45407,                0.85993,                0.88893,                0.87523,                0.93141,                0.77359,                0.65361,                0.51464,                0.87773,             0.00023291,             0.00023291,             0.00023291
                     63,                0.56096,                0.43205,                0.84523,                0.89856,                0.84897,                0.91036,                0.76449,                0.64309,                0.52926,                0.87058,             0.00022709,             0.00022709,             0.00022709
                     64,                0.55373,                0.44339,                0.84606,                0.84129,                0.92205,                0.91845,                0.77274,                0.63031,                0.50986,                 0.8756,             0.00022126,             0.00022126,             0.00022126
                     65,                0.57409,                0.43087,                 0.8486,                0.89742,                0.87087,                 0.9201,                0.76502,                0.64047,                0.51144,                0.87784,             0.00021544,             0.00021544,             0.00021544
                     66,                0.53814,                0.43171,                0.84257,                0.87956,                0.92658,                0.93587,                0.78595,                0.63617,                0.47851,                0.87372,             0.00020962,             0.00020962,             0.00020962
                     67,                0.55776,                0.44065,                0.83693,                0.88423,                0.90409,                 0.9368,                0.78697,                0.63772,                0.50194,                0.87655,              0.0002038,              0.0002038,              0.0002038
                     68,                 0.5657,                0.43205,                0.84008,                0.88271,                0.90862,                0.93961,                0.78345,                0.65906,                 0.5029,                0.88678,             0.00019798,             0.00019798,             0.00019798
                     69,                0.53522,                0.42301,                0.84781,                0.90474,                0.87745,                 0.9239,                0.76941,                0.66048,                0.52571,                0.87889,             0.00019216,             0.00019216,             0.00019216
                     70,                0.53431,                0.39784,                0.84039,                0.90655,                0.85004,                0.92488,                0.77537,                0.63975,                0.49702,                0.87142,             0.00018634,             0.00018634,             0.00018634
                     71,                0.53145,                0.39683,                0.83598,                 0.9279,                0.83011,                0.92287,                0.77682,                0.64203,                0.50071,                0.87635,             0.00018052,             0.00018052,             0.00018052
                     72,                0.52551,                0.39416,                0.82893,                0.89385,                0.89053,                0.92892,                0.77614,                0.64188,                 0.4845,                0.87767,             0.00017469,             0.00017469,             0.00017469
                     73,                0.51127,                0.40219,                0.82817,                0.91739,                0.88015,                0.92631,                0.77453,                0.66688,                 0.5025,                 0.8877,             0.00016887,             0.00016887,             0.00016887
                     74,                0.51115,                0.39201,                0.83601,                0.87171,                0.91048,                0.92911,                0.77744,                0.63865,                0.49155,                0.88125,             0.00016305,             0.00016305,             0.00016305
                     75,                0.51387,                0.39192,                0.82571,                0.90939,                0.87866,                 0.9419,                0.78722,                0.66018,                0.47757,                0.88162,             0.00015723,             0.00015723,             0.00015723
                     76,                0.50026,                0.39592,                0.82037,                0.91205,                0.87095,                0.92695,                0.77607,                0.63845,                0.50259,                0.87398,             0.00015141,             0.00015141,             0.00015141
                     77,                0.50364,                0.38544,                0.82902,                0.90598,                0.87317,                0.92736,                0.77695,                0.64647,                 0.4939,                0.87242,             0.00014559,             0.00014559,             0.00014559
                     78,                0.50855,                0.37839,                0.82486,                0.90032,                0.89176,                0.92161,                0.76771,                 0.6496,                0.49285,                 0.8739,             0.00013977,             0.00013977,             0.00013977
                     79,                0.47469,                0.35201,                0.81425,                0.90946,                0.85906,                0.92381,                0.77902,                0.62525,                0.50879,                0.87254,             0.00013395,             0.00013395,             0.00013395
                     80,                0.47258,                0.36273,                0.81884,                0.90366,                0.84238,                 0.9177,                0.77509,                0.63347,                0.51537,                0.87556,             0.00012813,             0.00012813,             0.00012813
                     81,                0.48091,                0.35435,                0.81959,                0.92085,                 0.8575,                0.92522,                0.77643,                0.63735,                0.50981,                0.87695,              0.0001223,              0.0001223,              0.0001223
                     82,                0.47204,                0.36081,                0.82723,                0.91014,                0.86378,                0.93001,                0.78262,                0.63484,                0.49677,                0.87511,             0.00011648,             0.00011648,             0.00011648
                     83,                0.47351,                0.35527,                0.82227,                0.91257,                0.87916,                0.93238,                0.78782,                0.63368,                0.49765,                0.87679,             0.00011066,             0.00011066,             0.00011066
                     84,                0.46779,                0.38053,                0.82443,                 0.8999,                0.87414,                0.92101,                0.77635,                0.61784,                0.53233,                0.87472,             0.00010484,             0.00010484,             0.00010484
                     85,                0.46772,                0.35293,                0.81486,                0.92989,                0.83145,                0.90926,                0.76505,                0.63134,                0.56687,                0.87778,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                0.45395,                0.33256,                0.82508,                0.89121,                0.85778,                 0.9205,                0.77699,                0.63846,                0.52906,                 0.8793,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                0.44542,                0.33226,                0.81582,                0.89127,                0.87128,                0.92454,                0.78137,                0.63445,                0.46937,                0.87701,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                 0.4471,                 0.3432,                 0.8188,                 0.9037,                0.87703,                0.93112,                0.78821,                0.63443,                0.47347,                0.87827,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                0.41443,                 0.3343,                0.81239,                0.86991,                0.90242,                0.93473,                0.78919,                0.63045,                0.46857,                0.87836,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                0.44186,                0.34671,                0.81317,                0.90168,                0.87799,                0.92863,                0.78713,                0.63129,                0.49822,                 0.8773,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                0.39905,                0.26953,                0.80581,                0.92042,                0.87143,                0.92466,                0.77831,                0.63036,                0.48901,                0.88025,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                0.40421,                0.26657,                0.81598,                0.91846,                0.86758,                0.92545,                0.78063,                0.63426,                0.49058,                0.88229,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                 0.3848,                0.25622,                0.81337,                0.93094,                0.86253,                0.93668,                0.79275,                0.62053,                0.46112,                0.87662,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                0.37297,                0.24592,                0.81527,                0.93017,                0.87425,                0.93924,                 0.7953,                0.62548,                0.45686,                0.87481,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                0.37954,                0.24556,                0.80153,                0.93874,                0.84679,                0.93478,                0.79561,                0.62904,                0.46196,                0.87593,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                0.38091,                0.25134,                0.81584,                 0.9087,                0.87652,                0.93383,                 0.7879,                0.62252,                0.45841,                0.87672,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                0.36613,                0.24871,                0.80415,                0.91888,                0.88854,                 0.9381,                0.79158,                0.62729,                0.45335,                0.87853,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                0.37785,                0.24222,                0.80441,                0.93453,                0.87991,                 0.9388,                0.79358,                0.62716,                0.45063,                0.87851,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                0.35874,                0.24396,                0.80277,                0.93751,                 0.8791,                0.93793,                0.79512,                0.62548,                0.45537,                0.87771,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                0.35773,                0.23785,                0.80715,                0.93588,                0.87644,                0.93818,                 0.7926,                0.63316,                0.45752,                0.88065,             1.1701e-05,             1.1701e-05,             1.1701e-05
