                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0168,                0.75066,                0.98752,                0.71268,                0.65364,                0.76597,                0.50287,                 1.3325,                 1.2642,                 1.1667,              0.0003959,              0.0003959,              0.0003959
                     35,                 1.0692,                 0.7442,                0.98449,                 0.7299,                0.66951,                0.81174,                 0.5212,                 1.3708,                 1.2974,                 1.1634,             0.00039008,             0.00039008,             0.00039008
                     36,                0.99895,                0.77597,                0.95683,                0.58279,                0.77615,                0.73148,                0.46993,                 1.4291,                 1.3056,                 1.2319,             0.00038426,             0.00038426,             0.00038426
                     37,                0.99297,                0.71184,                0.98001,                0.62516,                0.68825,                0.71264,                0.48174,                 1.3846,                 1.3453,                 1.2113,             0.00037844,             0.00037844,             0.00037844
                     38,                 1.0161,                0.69216,                0.92924,                0.58369,                0.68773,                0.71346,                0.47343,                 1.3919,                 1.4076,                 1.2017,             0.00037262,             0.00037262,             0.00037262
                     39,                0.96986,                0.65261,                0.94405,                0.57177,                0.67377,                0.70142,                 0.4688,                 1.4171,                 1.4794,                 1.2152,             0.00036679,             0.00036679,             0.00036679
                     40,                 1.0708,                0.71029,                 1.0262,                0.65341,                0.62843,                0.68729,                0.44829,                 1.4291,                 1.5876,                 1.2076,             0.00036097,             0.00036097,             0.00036097
                     41,                0.99283,                0.63446,                0.95338,                0.60707,                0.63091,                0.66003,                0.43514,                 1.4066,                 1.6622,                  1.185,             0.00035515,             0.00035515,             0.00035515
                     42,                0.92695,                0.64799,                0.96749,                0.59479,                0.65653,                0.66491,                0.44436,                 1.3839,                 1.6201,                 1.1749,             0.00034933,             0.00034933,             0.00034933
                     43,                0.92792,                0.62336,                0.96366,                0.61069,                0.66659,                0.65894,                0.42967,                  1.363,                 1.5574,                 1.1765,             0.00034351,             0.00034351,             0.00034351
                     44,                0.96989,                 0.6692,                 0.9654,                0.55357,                 0.7231,                0.61801,                0.39941,                 1.3582,                 1.6231,                 1.1736,             0.00033769,             0.00033769,             0.00033769
                     45,                0.92698,                0.62222,                0.95636,                0.84331,                0.50814,                0.62947,                0.41665,                 1.3318,                 1.6477,                 1.1706,             0.00033187,             0.00033187,             0.00033187
                     46,                0.92838,                0.61176,                0.95763,                0.64378,                 0.6101,                0.61573,                0.41163,                 1.2929,                 1.6113,                 1.1752,             0.00032605,             0.00032605,             0.00032605
                     47,                0.88904,                0.60541,                0.95361,                0.53978,                0.60142,                0.60266,                0.39447,                 1.3057,                  1.576,                 1.1937,             0.00032022,             0.00032022,             0.00032022
                     48,                0.89845,                0.63338,                 0.9368,                0.51473,                0.62197,                0.61482,                0.40573,                 1.3288,                 1.6432,                 1.1962,              0.0003144,              0.0003144,              0.0003144
                     49,                0.91534,                0.66496,                0.96692,                0.63569,                0.58828,                0.62787,                0.41145,                 1.3346,                 1.6187,                  1.204,             0.00030858,             0.00030858,             0.00030858
                     50,                0.93183,                0.60838,                0.94558,                0.59694,                0.65706,                0.65516,                0.42065,                 1.3405,                 1.5861,                 1.2175,             0.00030276,             0.00030276,             0.00030276
                     51,                0.87611,                 0.5764,                0.91482,                0.62441,                0.63999,                0.67225,                0.43767,                 1.3343,                 1.5897,                 1.2191,             0.00029694,             0.00029694,             0.00029694
                     52,                0.89713,                0.63252,                0.94656,                0.53063,                0.62449,                0.65201,                0.43566,                 1.3369,                 1.7431,                 1.1897,             0.00029112,             0.00029112,             0.00029112
                     53,                 0.8601,                0.55632,                0.90998,                0.56203,                0.64851,                0.65358,                0.42598,                 1.3657,                 1.7635,                 1.1982,              0.0002853,              0.0002853,              0.0002853
                     54,                0.90498,                0.63036,                0.95623,                0.67014,                0.65914,                0.66098,                  0.425,                  1.378,                 1.5957,                 1.2004,             0.00027948,             0.00027948,             0.00027948
                     55,                0.87667,                0.61424,                0.93516,                 0.7063,                0.59255,                0.68032,                0.44803,                 1.3645,                 1.4304,                 1.1892,             0.00027366,             0.00027366,             0.00027366
                     56,                0.87934,                0.61828,                0.94839,                0.74303,                 0.5185,                0.65908,                0.43488,                 1.3748,                 1.4481,                 1.1992,             0.00026783,             0.00026783,             0.00026783
                     57,                0.82163,                0.55464,                0.91646,                0.74789,                0.51699,                0.63925,                0.41923,                 1.3923,                 1.5625,                 1.2002,             0.00026201,             0.00026201,             0.00026201
                     58,                0.82039,                0.54312,                0.91329,                0.84058,                0.52957,                0.64298,                0.41504,                 1.3962,                 1.5511,                 1.2031,             0.00025619,             0.00025619,             0.00025619
                     59,                0.86581,                0.56961,                0.92425,                0.86131,                0.51979,                0.67325,                0.44418,                 1.3981,                 1.5098,                 1.2137,             0.00025037,             0.00025037,             0.00025037
                     60,                 0.8017,                0.53553,                0.88926,                0.94638,                0.51637,                0.71533,                0.47261,                 1.3757,                  1.445,                 1.2078,             0.00024455,             0.00024455,             0.00024455
                     61,                0.80923,                0.55869,                0.94496,                0.86397,                0.58895,                0.72133,                0.47002,                 1.3784,                 1.3908,                 1.2163,             0.00023873,             0.00023873,             0.00023873
                     62,                0.83375,                 0.5074,                0.90469,                0.76694,                0.61099,                0.73457,                0.47446,                  1.385,                 1.3454,                  1.234,             0.00023291,             0.00023291,             0.00023291
                     63,                0.83401,                 0.5385,                0.91348,                 0.6702,                0.61659,                0.73735,                0.47287,                 1.4072,                 1.3503,                 1.2678,             0.00022709,             0.00022709,             0.00022709
                     64,                0.78715,                0.53885,                0.92033,                0.64237,                0.65743,                0.73692,                 0.4594,                 1.4209,                 1.3576,                 1.2821,             0.00022126,             0.00022126,             0.00022126
                     65,                0.76516,                0.50884,                0.90865,                0.62627,                0.66037,                0.75242,                0.48528,                 1.3687,                  1.326,                 1.2532,             0.00021544,             0.00021544,             0.00021544
                     66,                0.76096,                0.49929,                0.89676,                0.62417,                0.68312,                0.76015,                0.50695,                  1.344,                  1.318,                 1.2273,             0.00020962,             0.00020962,             0.00020962
                     67,                0.74886,                0.48267,                0.86609,                0.61707,                0.70577,                 0.7626,                 0.5161,                 1.3487,                 1.3198,                 1.2239,              0.0002038,              0.0002038,              0.0002038
                     68,                0.77669,                0.48897,                 0.8939,                 0.6119,                0.70531,                0.72933,                0.48476,                 1.3697,                 1.4807,                 1.2495,             0.00019798,             0.00019798,             0.00019798
                     69,                0.73389,                0.52252,                0.91581,                 0.6353,                0.67127,                0.72786,                0.48238,                 1.3905,                 1.5443,                 1.2483,             0.00019216,             0.00019216,             0.00019216
                     70,                0.74656,                0.47123,                0.89495,                 0.6158,                0.66725,                0.72964,                0.48246,                 1.4002,                 1.5745,                 1.2556,             0.00018634,             0.00018634,             0.00018634
                     71,                0.70089,                0.46685,                0.87275,                0.60472,                0.66401,                 0.7293,                0.48123,                 1.3954,                 1.5504,                 1.2682,             0.00018052,             0.00018052,             0.00018052
                     72,                0.69489,                0.46106,                0.88126,                0.60791,                0.70314,                0.77051,                0.50367,                 1.3702,                 1.3564,                 1.2862,             0.00017469,             0.00017469,             0.00017469
                     73,                0.67818,                 0.4443,                 0.8584,                0.62845,                0.71312,                0.76788,                0.50883,                 1.3796,                   1.31,                 1.2916,             0.00016887,             0.00016887,             0.00016887
                     74,                0.71535,                0.46752,                0.87377,                0.61664,                0.71094,                0.76686,                 0.4974,                 1.3957,                 1.2825,                 1.3013,             0.00016305,             0.00016305,             0.00016305
                     75,                0.65236,                0.43198,                0.87107,                 0.6131,                0.73029,                0.76865,                0.50206,                 1.4006,                 1.2486,                 1.2965,             0.00015723,             0.00015723,             0.00015723
