                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0153,                0.65582,                  0.994,                0.87759,                0.84457,                0.92777,                0.60199,                 1.3737,                0.81798,                 1.1784,              0.0003959,              0.0003959,              0.0003959
                     35,                0.93286,                0.59418,                0.92769,                0.89186,                0.82758,                0.93736,                0.62415,                 1.3727,                0.83456,                 1.1712,             0.00039008,             0.00039008,             0.00039008
                     36,                   0.97,                0.67339,                0.96913,                0.77897,                0.84307,                0.89669,                0.59064,                 1.3491,                0.79442,                 1.1821,             0.00038426,             0.00038426,             0.00038426
                     37,                0.93802,                0.61218,                0.96137,                0.83763,                0.78724,                0.88119,                0.56317,                 1.3623,                 0.8337,                 1.2024,             0.00037844,             0.00037844,             0.00037844
                     38,                0.90957,                0.58872,                0.96523,                0.90733,                0.76491,                0.88194,                0.56268,                 1.3922,                0.79242,                 1.2248,             0.00037262,             0.00037262,             0.00037262
                     39,                0.93259,                0.61629,                0.91801,                0.89259,                0.78113,                0.87447,                0.55881,                 1.4036,                0.78927,                 1.2333,             0.00036679,             0.00036679,             0.00036679
                     40,                0.90056,                0.58718,                0.90881,                0.81193,                 0.7465,                 0.8762,                0.55952,                 1.3882,                0.84189,                 1.2484,             0.00036097,             0.00036097,             0.00036097
                     41,                0.89496,                0.59623,                0.93803,                 0.7926,                0.76007,                0.86532,                0.55217,                 1.3785,                0.89452,                 1.2315,             0.00035515,             0.00035515,             0.00035515
                     42,                0.85302,                0.52558,                0.91971,                0.77907,                0.77541,                0.85698,                0.54307,                 1.3772,                0.93589,                  1.228,             0.00034933,             0.00034933,             0.00034933
                     43,                0.85513,                0.57613,                0.91368,                0.93749,                0.71939,                0.85636,                0.54318,                 1.3758,                0.95307,                 1.2262,             0.00034351,             0.00034351,             0.00034351
                     44,                0.83646,                0.54631,                0.92533,                0.91641,                0.76097,                 0.8622,                0.53426,                 1.3907,                0.91445,                 1.2456,             0.00033769,             0.00033769,             0.00033769
                     45,                0.86408,                0.50835,                 0.9009,                0.93485,                0.75956,                0.88147,                0.56021,                 1.3713,                0.84027,                 1.2446,             0.00033187,             0.00033187,             0.00033187
                     46,                0.89038,                0.56996,                0.95438,                0.95255,                0.76159,                0.87599,                0.55259,                 1.3561,                0.79309,                  1.241,             0.00032605,             0.00032605,             0.00032605
                     47,                0.89019,                0.53652,                0.92129,                0.96638,                0.76651,                0.88952,                0.56694,                 1.3661,                 0.7678,                 1.2638,             0.00032022,             0.00032022,             0.00032022
                     48,                0.89843,                 0.5756,                0.94621,                0.86224,                0.81396,                0.91215,                0.58655,                 1.3784,                0.76401,                 1.2883,              0.0003144,              0.0003144,              0.0003144
                     49,                0.84197,                0.50432,                0.90722,                0.81557,                0.87282,                0.94677,                0.62987,                 1.3437,                0.77371,                 1.2708,             0.00030858,             0.00030858,             0.00030858
                     50,                0.85496,                0.56572,                0.91255,                0.78679,                 0.8806,                0.93607,                0.63646,                 1.3221,                0.78756,                 1.2585,             0.00030276,             0.00030276,             0.00030276
                     51,                0.80299,                0.48465,                0.88653,                 0.7519,                0.87667,                0.92171,                0.61526,                 1.3214,                0.81469,                 1.2655,             0.00029694,             0.00029694,             0.00029694
                     52,                0.85923,                0.51216,                0.90699,                0.77351,                0.87824,                0.90082,                0.60438,                 1.3217,                 0.8229,                 1.2794,             0.00029112,             0.00029112,             0.00029112
                     53,                0.80884,                 0.5158,                 0.8983,                0.78305,                0.85935,                0.90949,                0.60779,                 1.3027,                0.80737,                 1.2696,              0.0002853,              0.0002853,              0.0002853
                     54,                0.83491,                0.51543,                0.92146,                0.85214,                0.83965,                0.92574,                0.62402,                 1.3138,                0.80888,                 1.2688,             0.00027948,             0.00027948,             0.00027948
                     55,                0.72663,                0.46127,                0.87244,                0.88358,                 0.7808,                0.92025,                0.61882,                 1.3215,                0.80629,                 1.2608,             0.00027366,             0.00027366,             0.00027366
                     56,                0.80707,                0.50008,                0.91101,                0.83664,                0.83265,                 0.8936,                0.59309,                 1.3351,                0.77842,                 1.2521,             0.00026783,             0.00026783,             0.00026783
                     57,                0.72706,                0.47083,                0.90261,                0.89434,                0.78273,                0.93012,                0.62854,                 1.3177,                0.74202,                 1.2393,             0.00026201,             0.00026201,             0.00026201
