                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81215,                0.46784,                  0.959,                 0.6256,                0.70425,                0.71793,                0.40905,                  1.613,                 1.2526,                 1.7501,             0.00039008,             0.00039008,             0.00039008
                     36,                0.82121,                0.47262,                0.97655,                0.64699,                0.61323,                0.66477,                0.40432,                 1.5099,                 1.3562,                 1.5746,             0.00038426,             0.00038426,             0.00038426
                     37,                0.81156,                0.47298,                0.94867,                0.61812,                0.67036,                0.71197,                0.43215,                 1.4787,                 1.4285,                 1.5505,             0.00037844,             0.00037844,             0.00037844
                     38,                0.80268,                0.47328,                0.95763,                0.72112,                0.69499,                0.73454,                0.43479,                 1.5839,                  1.267,                 1.6595,             0.00037262,             0.00037262,             0.00037262
                     39,                0.75823,                0.44363,                0.94719,                0.61852,                0.69705,                0.69905,                0.41853,                 1.5205,                 1.3823,                 1.6568,             0.00036679,             0.00036679,             0.00036679
                     40,                0.76716,                0.45377,                0.94512,                0.67706,                0.72508,                0.77669,                0.47612,                 1.4767,                 1.1202,                 1.5973,             0.00036097,             0.00036097,             0.00036097
                     41,                0.76385,                0.44424,                0.93688,                0.62769,                0.73064,                 0.7477,                0.45203,                 1.4962,                 1.1986,                 1.6376,             0.00035515,             0.00035515,             0.00035515
                     42,                0.77018,                0.44098,                0.94943,                0.60845,                0.71342,                 0.7134,                0.43771,                 1.4535,                 1.4093,                 1.6054,             0.00034933,             0.00034933,             0.00034933
                     43,                0.74425,                0.42275,                0.92997,                0.62101,                0.68476,                0.71892,                0.44401,                 1.4438,                 1.3601,                 1.5412,             0.00034351,             0.00034351,             0.00034351
                     44,                0.72277,                0.42206,                0.92423,                0.62092,                0.67609,                0.71944,                0.43754,                 1.4961,                  1.387,                 1.6134,             0.00033769,             0.00033769,             0.00033769
                     45,                0.70642,                0.41443,                0.92734,                0.65205,                0.74801,                0.73707,                0.46078,                 1.4802,                   1.19,                 1.6126,             0.00033187,             0.00033187,             0.00033187
                     46,                0.69392,                0.41795,                  0.917,                0.61393,                0.72574,                0.73739,                0.44926,                 1.5375,                 1.1954,                  1.665,             0.00032605,             0.00032605,             0.00032605
                     47,                0.68585,                0.40041,                0.91457,                0.66114,                  0.742,                0.74133,                0.45216,                 1.5061,                  1.255,                 1.6596,             0.00032022,             0.00032022,             0.00032022
                     48,                0.69672,                0.41746,                0.92681,                 0.6648,                 0.7518,                0.76556,                0.47629,                 1.4391,                 1.1098,                 1.6234,              0.0003144,              0.0003144,              0.0003144
                     49,                0.67827,                  0.398,                0.91586,                0.66964,                0.74072,                0.76118,                0.46514,                 1.4836,                 1.1497,                 1.6102,             0.00030858,             0.00030858,             0.00030858
                     50,                0.65274,                  0.386,                0.89884,                0.67358,                0.72341,                0.74082,                0.45382,                 1.4594,                 1.2537,                 1.5888,             0.00030276,             0.00030276,             0.00030276
                     51,                0.68269,                0.40335,                0.90591,                0.68359,                 0.6886,                0.70304,                0.43527,                 1.4458,                 1.5036,                 1.6146,             0.00029694,             0.00029694,             0.00029694
                     52,                0.63801,                0.38987,                 0.9044,                0.67899,                0.68651,                0.73405,                 0.4531,                 1.4548,                 1.4138,                 1.6136,             0.00029112,             0.00029112,             0.00029112
                     53,                0.65457,                0.38873,                0.89913,                 0.6591,                0.73273,                0.75574,                0.45663,                 1.4836,                 1.2361,                 1.6377,              0.0002853,              0.0002853,              0.0002853
                     54,                   0.65,                 0.3859,                0.90543,                0.72303,                0.72878,                0.77903,                0.48059,                  1.454,                 1.1442,                 1.6146,             0.00027948,             0.00027948,             0.00027948
                     55,                0.65674,                0.39155,                0.91302,                 0.6996,                0.72315,                0.77773,                0.49695,                 1.3965,                  1.123,                 1.5677,             0.00027366,             0.00027366,             0.00027366
                     56,                0.62426,                0.37715,                0.89482,                0.71925,                0.73637,                 0.8014,                0.49501,                 1.4514,                 1.1375,                 1.6022,             0.00026783,             0.00026783,             0.00026783
                     57,                 0.6091,                0.36633,                0.88367,                0.75018,                0.81408,                0.81953,                0.50596,                 1.4775,                 1.0807,                 1.6563,             0.00026201,             0.00026201,             0.00026201
                     58,                0.61806,                0.36377,                 0.9013,                 0.7488,                0.75201,                0.83467,                0.52325,                 1.4523,                 1.1149,                 1.6562,             0.00025619,             0.00025619,             0.00025619
                     59,                0.61197,                0.35348,                 0.8866,                0.72503,                 0.7809,                0.84308,                0.53366,                 1.4488,                 1.1255,                 1.6198,             0.00025037,             0.00025037,             0.00025037
                     60,                  0.624,                 0.3605,                0.89148,                0.70925,                0.76781,                 0.8285,                 0.5234,                 1.4431,                 1.1254,                 1.6493,             0.00024455,             0.00024455,             0.00024455
                     61,                  0.615,                0.36255,                0.89191,                0.71128,                0.74262,                0.79121,                 0.4909,                 1.4326,                 1.1706,                 1.5961,             0.00023873,             0.00023873,             0.00023873
                     62,                0.59116,                0.35762,                0.88652,                0.70813,                0.74224,                0.79285,                0.50039,                 1.4117,                 1.1059,                 1.5777,             0.00023291,             0.00023291,             0.00023291
                     63,                0.59721,                0.35342,                0.88468,                0.70067,                0.74278,                0.79262,                0.49277,                 1.4527,                  1.143,                 1.6311,             0.00022709,             0.00022709,             0.00022709
                     64,                0.58846,                0.35137,                0.88349,                0.71211,                0.75296,                0.78029,                0.49044,                 1.4204,                 1.1762,                 1.6125,             0.00022126,             0.00022126,             0.00022126
                     65,                0.57033,                0.34342,                0.87444,                0.71761,                0.76175,                0.79327,                0.48896,                 1.4475,                 1.1428,                 1.6343,             0.00021544,             0.00021544,             0.00021544
                     66,                0.57178,                0.33654,                0.87167,                0.75401,                0.75002,                0.79227,                0.50527,                   1.42,                 1.2026,                 1.6323,             0.00020962,             0.00020962,             0.00020962
                     67,                0.55328,                0.33548,                0.87664,                0.69199,                 0.7198,                0.76765,                0.48414,                 1.4569,                 1.3212,                 1.6672,              0.0002038,              0.0002038,              0.0002038
                     68,                0.56533,                0.33851,                0.88373,                0.72663,                0.71812,                0.78112,                0.48711,                 1.4742,                 1.2376,                 1.6528,             0.00019798,             0.00019798,             0.00019798
                     69,                0.54487,                0.32071,                0.86821,                0.67886,                0.74444,                0.78257,                 0.4916,                 1.4652,                 1.1876,                 1.6722,             0.00019216,             0.00019216,             0.00019216
                     70,                0.54686,                0.32437,                0.87008,                0.73469,                0.71434,                0.79349,                0.48995,                 1.4472,                 1.1176,                 1.6715,             0.00018634,             0.00018634,             0.00018634
                     71,                 0.5268,                0.31222,                0.86229,                0.69001,                 0.7654,                0.79065,                0.49777,                  1.425,                 1.1728,                 1.6354,             0.00018052,             0.00018052,             0.00018052
                     72,                0.52911,                0.31576,                0.85975,                0.70489,                0.75039,                 0.7954,                0.49977,                 1.4477,                 1.1032,                 1.6631,             0.00017469,             0.00017469,             0.00017469
                     73,                0.51885,                0.31475,                0.86491,                0.68828,                0.76417,                0.79923,                0.50096,                 1.4461,                 1.1611,                 1.6571,             0.00016887,             0.00016887,             0.00016887
                     74,                0.52432,                0.30734,                0.86943,                0.71024,                0.76845,                0.79879,                0.50304,                  1.471,                 1.1097,                 1.7003,             0.00016305,             0.00016305,             0.00016305
                     75,                0.50437,                0.30206,                0.85264,                0.69042,                0.75793,                0.78975,                 0.5016,                 1.4362,                 1.1871,                 1.6563,             0.00015723,             0.00015723,             0.00015723
                     76,                0.52302,                0.31508,                0.86807,                0.72607,                 0.7212,                0.77789,                0.48362,                 1.4592,                 1.2975,                 1.6862,             0.00015141,             0.00015141,             0.00015141
                     77,                 0.5077,                0.30355,                0.86443,                0.73511,                0.71354,                0.78824,                0.49441,                 1.4533,                  1.308,                 1.6855,             0.00014559,             0.00014559,             0.00014559
                     78,                0.48983,                0.30025,                0.85929,                0.71053,                0.74747,                0.78334,                0.48673,                 1.4869,                 1.2819,                 1.7452,             0.00013977,             0.00013977,             0.00013977
                     79,                0.49511,                0.30077,                0.85322,                0.72833,                0.71737,                0.76812,                0.48654,                  1.455,                  1.225,                 1.7181,             0.00013395,             0.00013395,             0.00013395
                     80,                0.49559,                0.30351,                0.85641,                0.73278,                0.73064,                  0.784,                0.49013,                 1.4649,                 1.1891,                 1.7307,             0.00012813,             0.00012813,             0.00012813
                     81,                0.48075,                0.28877,                0.84546,                0.71839,                0.75613,                 0.8025,                 0.5105,                 1.4413,                  1.195,                 1.6868,              0.0001223,              0.0001223,              0.0001223
                     82,                0.47293,                0.29031,                0.85369,                 0.7091,                0.78288,                0.79981,                0.51179,                 1.4365,                  1.182,                 1.6972,             0.00011648,             0.00011648,             0.00011648
                     83,                0.47062,                0.28957,                0.84723,                0.72244,                 0.7671,                0.80236,                0.51339,                 1.4409,                 1.1536,                  1.691,             0.00011066,             0.00011066,             0.00011066
                     84,                0.48226,                0.29847,                0.85142,                0.73998,                0.76387,                0.80314,                0.50448,                 1.4638,                 1.1512,                 1.7131,             0.00010484,             0.00010484,             0.00010484
                     85,                0.46683,                0.28116,                0.84322,                  0.727,                0.73907,                0.79436,                 0.5023,                 1.4363,                 1.1042,                  1.682,             9.9019e-05,             9.9019e-05,             9.9019e-05
